gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,high school,free/reduced,none,42,49,41
female,group C,bachelor's degree,standard,none,58,72,65
female,group D,some high school,free/reduced,none,15,27,20
male,group D,master's degree,free/reduced,completed,74,80,77
female,group C,associate's degree,free/reduced,none,53,63,66
female,group E,some high school,standard,none,78,78,80
male,group B,associate's degree,standard,none,32,47,43
male,group E,some high school,standard,none,84,80,84
female,group B,associate's degree,standard,none,89,95,87
male,group B,associate's degree,standard,none,97,90,92
female,group C,associate's degree,standard,none,70,72,74
male,group A,bachelor's degree,standard,none,88,87,93
female,group A,some high school,standard,completed,44,48,44
male,group A,high school,standard,none,77,81,77
male,group C,some college,free/reduced,none,51,44,40
male,group D,some high school,standard,none,36,46,40
female,group A,some college,free/reduced,none,43,40,53
male,group D,high school,free/reduced,none,68,58,54
female,group D,some college,standard,completed,62,74,68
female,group B,some college,free/reduced,none,55,57,71
male,group B,bachelor's degree,standard,none,41,58,36
female,group E,high school,free/reduced,none,26,28,25
male,group D,bachelor's degree,standard,none,95,95,96
male,group C,some college,standard,none,87,85,68
female,group D,high school,standard,none,46,59,49
male,group B,some college,standard,none,74,71,74
female,group C,some college,free/reduced,completed,79,90,90
female,group D,high school,free/reduced,completed,65,77,76
female,group B,some college,free/reduced,completed,65,81,76
male,group D,some high school,free/reduced,none,65,73,71
female,group C,high school,free/reduced,completed,61,68,59
female,group D,some college,standard,none,66,77,70
female,group C,some college,free/reduced,none,59,53,62
male,group C,bachelor's degree,standard,completed,76,92,74
male,group B,high school,standard,completed,64,67,75
male,group B,master's degree,standard,completed,85,94,93
male,group D,associate's degree,free/reduced,completed,76,70,76
male,group B,master's degree,standard,none,59,68,59
male,group A,bachelor's degree,standard,completed,90,91,89
female,group B,some high school,standard,none,48,56,58
male,group B,some college,standard,completed,77,73,76
male,group D,some high school,standard,completed,76,76,69
female,group C,associate's degree,free/reduced,none,66,72,66
female,group E,some college,free/reduced,none,28,36,32
male,group B,high school,standard,none,84,70,74
female,group D,bachelor's degree,standard,none,56,67,70
male,group C,some high school,standard,none,78,84,89
female,group C,some college,standard,completed,62,75,80
female,group E,associate's degree,standard,none,61,79,76
male,group E,some high school,free/reduced,completed,95,88,83
female,group E,some college,free/reduced,none,54,59,58
female,group B,associate's degree,standard,none,87,98,100
male,group B,some high school,standard,none,52,54,60
male,group D,some college,standard,completed,94,86,82
female,group C,high school,standard,none,61,70,78
female,group D,associate's degree,free/reduced,none,81,72,79
male,group C,some high school,free/reduced,none,37,46,56
male,group C,bachelor's degree,free/reduced,completed,54,64,53
female,group D,bachelor's degree,free/reduced,none,41,63,52
female,group D,high school,free/reduced,none,58,61,67
female,group A,high school,free/reduced,completed,54,70,58
female,group A,some college,standard,completed,80,95,89
female,group D,associate's degree,standard,none,81,93,93
male,group C,some college,standard,none,59,52,59
female,group B,some high school,standard,none,54,54,59
female,group C,some high school,standard,none,49,51,47
male,group D,master's degree,standard,completed,100,100,100
male,group D,some college,free/reduced,none,65,59,69
female,group C,bachelor's degree,free/reduced,none,62,66,94
male,group C,some college,standard,none,48,54,52
male,group B,bachelor's degree,standard,none,72,72,74
male,group C,some high school,free/reduced,none,64,64,55
female,group C,some high school,standard,completed,71,78,68
female,group C,bachelor's degree,standard,none,93,87,92
male,group D,master's degree,standard,completed,100,100,100
female,group A,high school,standard,completed,63,64,63
female,group A,high school,standard,none,49,58,63
female,group B,some college,free/reduced,none,42,56,55
male,group E,some college,free/reduced,none,80,76,82
male,group D,high school,free/reduced,none,70,75,66
female,group B,bachelor's degree,standard,none,78,81,81
male,group E,high school,free/reduced,completed,68,65,65
female,group C,associate's degree,free/reduced,none,47,52,43
male,group C,some high school,standard,none,77,79,80
male,group E,some high school,free/reduced,none,61,51,53
female,group A,associate's degree,standard,none,71,74,57
female,group B,high school,standard,completed,78,90,83
female,group C,associate's degree,standard,none,64,67,70
male,group B,some high school,standard,completed,68,74,72
male,group D,master's degree,standard,completed,86,91,82
male,group B,associate's degree,standard,none,80,84,78
male,group B,bachelor's degree,standard,none,100,91,100
female,group B,some high school,free/reduced,none,68,65,63
male,group C,high school,standard,completed,81,88,89
female,group B,high school,standard,none,56,62,61
female,group B,some college,standard,completed,61,68,62
male,group E,high school,free/reduced,completed,73,68,78
male,group C,some high school,standard,completed,85,78,75
female,group C,high school,free/reduced,none,38,41,43
male,group A,high school,standard,none,67,55,59
male,group C,some college,standard,completed,75,78,71
male,group B,high school,standard,none,58,60,66
male,group D,high school,standard,completed,90,100,89
female,group B,associate's degree,free/reduced,none,70,70,77
female,group E,some college,free/reduced,none,80,78,89
female,group E,high school,standard,completed,83,78,86
male,group B,some college,free/reduced,none,60,58,56
male,group B,associate's degree,standard,none,57,58,52
female,group B,some college,standard,none,68,73,71
female,group D,some college,standard,none,71,72,65
female,group B,master's degree,standard,completed,55,67,62
male,group D,some college,free/reduced,none,55,50,54
male,group D,bachelor's degree,standard,none,70,82,72
female,group D,associate's degree,standard,none,69,77,74
female,group C,some high school,standard,completed,66,79,85
male,group E,some college,standard,none,60,78,62
female,group A,associate's degree,standard,completed,91,91,96
male,group C,master's degree,free/reduced,completed,81,66,75
female,group C,some college,standard,none,25,35,34
female,group E,some high school,standard,completed,72,64,70
male,group C,some college,standard,completed,93,98,98
female,group D,some high school,standard,none,41,42,35
female,group B,associate's degree,standard,none,68,74,75
female,group E,some college,free/reduced,completed,86,100,93
female,group C,associate's degree,free/reduced,completed,52,64,59
female,group C,bachelor's degree,standard,completed,69,90,87
female,group E,associate's degree,free/reduced,completed,53,56,55
female,group C,associate's degree,standard,none,90,96,100
female,group C,associate's degree,standard,completed,71,84,79
male,group C,bachelor's degree,free/reduced,completed,67,79,69
male,group B,bachelor's degree,free/reduced,none,84,85,89
female,group C,some high school,free/reduced,none,70,76,68
female,group B,some college,standard,none,64,64,53
female,group B,high school,standard,completed,54,70,67
male,group E,bachelor's degree,standard,none,80,83,72
male,group C,associate's degree,standard,completed,65,71,69
female,group C,some college,free/reduced,none,30,26,29
female,group C,high school,standard,none,65,69,66
female,group C,high school,standard,none,39,50,55
female,group D,associate's degree,standard,none,93,96,92
male,group E,high school,standard,completed,76,80,81
female,group E,some high school,standard,none,56,54,64
female,group C,bachelor's degree,standard,completed,72,79,79
female,group C,associate's degree,standard,none,44,50,45
male,group C,high school,standard,completed,46,60,52
female,group C,high school,standard,none,79,78,78
male,group C,master's degree,standard,none,100,100,100
female,group D,associate's degree,free/reduced,none,76,74,71
male,group C,associate's degree,standard,none,61,70,66
female,group C,high school,standard,none,56,63,61
male,group C,high school,standard,completed,55,59,60
male,group C,some high school,free/reduced,none,94,92,87
male,group B,associate's degree,free/reduced,none,60,66,51
male,group B,some high school,standard,none,92,97,92
male,group D,some high school,standard,none,86,84,84
male,group C,associate's degree,standard,completed,40,57,51
male,group B,master's degree,free/reduced,none,52,58,66
female,group C,associate's degree,standard,completed,67,72,73
male,group D,some college,standard,completed,81,78,67
female,group B,some college,free/reduced,none,46,59,63
male,group D,some college,free/reduced,none,100,100,100
female,group E,high school,standard,none,53,56,53
female,group C,some college,standard,none,63,79,69
male,group D,some college,standard,none,80,75,87
female,group A,some college,standard,completed,75,84,74
female,group E,bachelor's degree,standard,none,82,75,81
female,group C,master's degree,free/reduced,none,48,52,55
female,group E,some high school,free/reduced,completed,60,64,69
female,group C,some college,standard,none,78,75,88
female,group A,high school,standard,completed,71,88,85
female,group A,high school,standard,none,72,74,75
female,group D,high school,standard,none,83,87,96
female,group C,some high school,free/reduced,completed,73,85,75
male,group A,associate's degree,standard,completed,85,78,80
female,group D,some college,standard,completed,60,63,55
male,group D,bachelor's degree,standard,none,62,61,59
male,group C,some high school,standard,completed,70,73,68
female,group C,some high school,standard,none,73,75,72
female,group A,some college,free/reduced,none,45,59,46
male,group D,some high school,free/reduced,none,41,44,42
male,group C,high school,standard,none,49,51,45
male,group E,master's degree,free/reduced,none,42,41,48
male,group C,high school,standard,none,56,60,61
male,group C,high school,free/reduced,completed,51,51,37
male,group B,some college,standard,completed,59,67,62
female,group B,some college,standard,completed,74,71,69
male,group D,some college,free/reduced,none,36,40,45
female,group C,some college,standard,completed,77,85,85
male,group C,bachelor's degree,standard,none,92,80,84
male,group E,some high school,standard,none,61,57,58
female,group E,some college,standard,completed,69,72,68
male,group D,associate's degree,standard,none,83,75,72
female,group B,bachelor's degree,standard,none,59,60,68
male,group C,high school,free/reduced,none,46,38,39
female,group E,some college,standard,none,81,88,84
male,group C,some high school,standard,completed,90,85,89
female,group B,some high school,standard,none,67,72,78
male,group D,some high school,free/reduced,none,76,71,61
male,group C,associate's degree,standard,none,40,43,38
male,group C,high school,standard,none,88,90,82
male,group E,associate's degree,standard,completed,89,84,93
male,group D,some high school,free/reduced,completed,78,73,81
male,group C,bachelor's degree,free/reduced,completed,77,79,75
female,group C,bachelor's degree,standard,completed,80,80,88
male,group C,some high school,free/reduced,none,55,53,43
female,group B,some high school,standard,completed,72,76,77
male,group D,some high school,standard,none,59,65,59
female,group D,bachelor's degree,standard,none,85,88,92
male,group C,high school,standard,completed,56,58,50
male,group C,some college,standard,none,61,56,62
female,group E,some college,standard,completed,100,100,100
male,group A,associate's degree,standard,completed,69,72,68
male,group C,some college,standard,completed,73,80,71
male,group C,some college,standard,none,55,65,53
female,group D,master's degree,free/reduced,none,63,76,76
male,group B,some high school,free/reduced,completed,46,61,53
male,group D,bachelor's degree,standard,none,69,70,72
female,group C,some high school,standard,none,80,85,73
female,group D,some college,standard,completed,64,66,64
female,group A,bachelor's degree,standard,completed,89,99,98
male,group C,associate's degree,standard,completed,98,80,98
female,group C,associate's degree,standard,none,92,84,90
male,group B,high school,free/reduced,none,66,62,57
male,group B,some college,free/reduced,none,100,100,100
female,group B,high school,standard,none,78,88,80
male,group C,some college,standard,none,83,79,80
male,group B,some college,free/reduced,none,48,44,46
female,group E,high school,standard,none,62,64,65
female,group C,high school,free/reduced,none,79,79,80
female,group D,high school,standard,none,95,90,93
female,group E,high school,standard,none,84,91,98
female,group A,some high school,standard,none,74,79,77
male,group D,bachelor's degree,standard,completed,68,63,63
female,group E,associate's degree,free/reduced,none,60,80,74
female,group D,some high school,standard,completed,51,54,52
male,group C,associate's degree,free/reduced,none,34,47,39
male,group C,bachelor's degree,standard,none,73,73,78
male,group A,high school,free/reduced,none,63,65,57
male,group C,some high school,free/reduced,none,70,74,68
female,group E,some high school,standard,none,67,80,74
female,group E,some high school,standard,completed,74,81,83
male,group A,associate's degree,free/reduced,completed,55,58,54
male,group D,master's degree,standard,none,70,78,76
male,group C,some high school,free/reduced,none,34,30,38
female,group E,associate's degree,standard,completed,52,57,46
male,group A,some high school,standard,none,75,85,73
male,group E,some college,standard,none,57,61,61
female,group D,associate's degree,free/reduced,completed,81,88,87
male,group B,high school,free/reduced,none,64,77,75
male,group A,some high school,standard,completed,66,56,76
female,group D,some college,free/reduced,none,81,73,73
female,group B,master's degree,free/reduced,none,54,56,65
male,group C,high school,standard,none,39,38,37
female,group E,high school,standard,completed,78,91,74
female,group C,some high school,free/reduced,none,53,49,48
female,group C,some college,free/reduced,completed,63,60,66
female,group C,some college,standard,completed,93,100,100
male,group A,associate's degree,free/reduced,completed,49,43,48
male,group E,associate's degree,standard,none,90,75,75
female,group C,bachelor's degree,free/reduced,none,50,59,50
male,group B,associate's degree,free/reduced,none,69,75,73
male,group C,high school,free/reduced,none,63,54,65
female,group E,some college,standard,completed,74,89,89
male,group B,high school,standard,none,59,52,47
female,group E,high school,standard,completed,56,75,70
male,group D,bachelor's degree,standard,none,89,85,84
male,group D,associate's degree,free/reduced,none,84,92,89
male,group E,master's degree,standard,none,82,93,83
female,group D,some college,standard,completed,68,63,74
male,group E,some college,standard,none,75,73,71
female,group B,some college,standard,none,100,100,100
female,group D,some high school,standard,completed,65,73,79
female,group C,high school,standard,none,77,93,87
male,group C,some college,free/reduced,none,42,48,47
female,group E,some high school,standard,none,61,66,65
male,group E,bachelor's degree,free/reduced,none,79,74,70
male,group D,some high school,free/reduced,none,58,61,57
female,group C,high school,standard,none,61,60,64
female,group C,associate's degree,free/reduced,none,43,50,48
female,group C,some high school,standard,none,75,79,84
male,group C,bachelor's degree,standard,none,87,91,93
male,group C,associate's degree,standard,none,99,93,86
female,group B,some high school,standard,none,99,91,96
male,group A,associate's degree,free/reduced,none,55,65,55
female,group D,associate's degree,free/reduced,none,52,51,62
male,group C,associate's degree,free/reduced,none,88,77,78
male,group E,bachelor's degree,standard,none,78,83,84
male,group D,associate's degree,standard,completed,68,61,57
male,group A,some college,free/reduced,completed,58,61,52
male,group B,high school,standard,none,75,75,79
female,group B,associate's degree,standard,none,69,73,67
female,group E,master's degree,standard,none,83,78,76
female,group B,some college,standard,completed,100,96,98
female,group C,associate's degree,standard,none,80,79,87
male,group E,some college,standard,none,87,88,76
male,group E,associate's degree,standard,none,38,39,52
male,group B,master's degree,standard,none,86,80,83
female,group A,some high school,standard,none,65,65,80
male,group B,high school,standard,completed,51,48,51
female,group A,some college,standard,completed,65,78,60
female,group B,some college,free/reduced,none,41,54,52
male,group C,some college,standard,none,71,76,66
male,group E,some high school,free/reduced,none,92,85,81
male,group C,some college,free/reduced,none,89,92,88
female,group D,some college,standard,none,52,58,60
male,group B,some college,free/reduced,none,72,62,63
female,group D,associate's degree,free/reduced,completed,76,86,84
male,group D,associate's degree,standard,completed,93,85,78
male,group E,associate's degree,standard,completed,86,98,96
female,group E,associate's degree,standard,completed,80,85,97
female,group C,associate's degree,free/reduced,none,75,99,97
female,group B,some college,free/reduced,none,65,78,84
male,group B,associate's degree,free/reduced,none,36,53,44
female,group C,some high school,free/reduced,none,65,78,74
male,group E,high school,standard,none,74,75,79
male,group C,some college,free/reduced,completed,79,70,63
male,group D,bachelor's degree,standard,none,92,86,98
female,group C,associate's degree,free/reduced,none,60,61,72
male,group B,some high school,standard,none,63,71,66
female,group C,some college,standard,completed,79,81,75
male,group D,high school,free/reduced,none,23,28,23
male,group D,associate's degree,free/reduced,none,55,63,50
male,group C,bachelor's degree,standard,none,70,56,68
male,group B,some college,standard,completed,61,67,51
female,group D,some college,standard,completed,95,100,100
female,group B,high school,free/reduced,none,65,70,63
female,group E,some college,standard,completed,74,83,72
female,group B,bachelor's degree,standard,none,65,76,69
female,group B,associate's degree,standard,completed,77,86,84
female,group C,some college,standard,none,92,76,91
female,group C,high school,standard,none,49,59,51
female,group C,some high school,standard,completed,77,76,71
female,group C,some high school,free/reduced,none,64,65,58
male,group E,high school,free/reduced,none,32,30,17
male,group C,high school,free/reduced,completed,68,63,73
female,group C,master's degree,standard,completed,82,76,91
female,group C,some college,standard,none,60,74,70
female,group A,high school,free/reduced,none,52,50,48
male,group C,some high school,free/reduced,completed,74,62,62
female,group B,high school,standard,none,92,96,100
female,group D,associate's degree,free/reduced,completed,62,74,64
female,group A,some college,free/reduced,none,58,67,67
female,group E,associate's degree,free/reduced,completed,95,100,100
female,group C,associate's degree,free/reduced,none,59,54,52
male,group E,some high school,standard,none,87,93,88
male,group C,associate's degree,standard,none,67,78,72
male,group A,master's degree,standard,none,100,100,98
male,group D,some college,standard,completed,92,92,90
male,group D,some high school,free/reduced,completed,78,70,64
female,group D,bachelor's degree,standard,none,68,70,76
male,group C,bachelor's degree,standard,none,66,61,71
male,group D,some college,free/reduced,none,57,60,59
female,group D,some college,free/reduced,none,71,72,80
male,group D,high school,free/reduced,none,48,52,47
female,group C,associate's degree,standard,completed,75,69,74
female,group D,some college,free/reduced,completed,62,60,66
male,group D,some high school,standard,none,79,78,88
male,group E,associate's degree,standard,none,88,89,79
male,group C,master's degree,standard,none,63,64,66
female,group C,bachelor's degree,standard,none,65,68,74
male,group D,high school,free/reduced,none,57,61,58
male,group C,some high school,standard,none,90,92,85
female,group D,bachelor's degree,standard,none,99,93,95
male,group C,bachelor's degree,free/reduced,none,53,50,46
female,group B,some college,free/reduced,completed,53,68,73
female,group D,associate's degree,standard,none,52,54,62
female,group B,some college,free/reduced,none,55,58,64
male,group B,some college,free/reduced,none,83,77,81
female,group D,some high school,free/reduced,completed,31,44,39
female,group D,some high school,free/reduced,none,29,30,31
female,group E,high school,free/reduced,none,42,50,41
female,group B,bachelor's degree,free/reduced,none,75,65,73
female,group B,some high school,standard,none,70,77,74
male,group E,high school,standard,none,80,77,70
female,group B,some college,standard,completed,86,100,100
male,group B,high school,free/reduced,none,26,28,24
male,group C,some high school,standard,none,86,82,85
female,group C,some college,free/reduced,none,57,59,54
female,group E,high school,standard,completed,79,97,94
male,group D,associate's degree,standard,completed,60,53,57
female,group D,bachelor's degree,standard,completed,73,81,88
female,group B,some high school,standard,none,64,85,71
male,group C,bachelor's degree,standard,completed,100,98,100
male,group C,bachelor's degree,standard,completed,57,50,58
male,group B,bachelor's degree,free/reduced,none,64,62,56
female,group B,associate's degree,standard,none,47,45,62
male,group C,associate's degree,standard,completed,84,88,86
male,group B,associate's degree,standard,none,92,87,86
female,group C,associate's degree,standard,completed,96,97,100
male,group D,some high school,standard,none,51,54,52
female,group A,master's degree,free/reduced,none,77,89,79
female,group C,some college,free/reduced,none,69,73,85
male,group D,associate's degree,standard,completed,50,49,52
female,group D,some college,standard,completed,90,88,93
female,group D,some high school,standard,none,75,78,80
male,group C,some college,standard,none,75,64,70
male,group D,some college,free/reduced,none,41,36,42
male,group B,some college,standard,none,83,84,84
male,group C,high school,free/reduced,completed,51,47,45
male,group B,high school,standard,none,51,68,65
female,group C,some college,standard,none,67,73,77
female,group C,some college,standard,none,77,84,82
female,group B,master's degree,standard,completed,81,72,81
female,group D,some high school,free/reduced,none,46,50,46
male,group C,high school,standard,completed,71,75,77
female,group B,high school,free/reduced,none,76,74,83
female,group B,some college,free/reduced,none,90,100,100
female,group C,some college,standard,completed,47,55,57
female,group C,associate's degree,standard,none,74,86,79
male,group C,master's degree,standard,completed,68,77,65
female,group B,high school,standard,none,87,89,84
female,group D,associate's degree,free/reduced,completed,54,54,59
female,group E,some high school,standard,completed,60,55,69
female,group C,high school,free/reduced,completed,58,65,62
male,group D,some college,standard,none,74,69,62
female,group E,some high school,standard,completed,78,76,84
female,group E,associate's degree,free/reduced,completed,81,85,78
female,group D,associate's degree,standard,none,71,70,68
male,group E,associate's degree,free/reduced,none,42,40,47
male,group E,some college,standard,completed,95,91,95
male,group D,associate's degree,free/reduced,none,60,55,61
male,group C,some college,free/reduced,completed,85,84,87
male,group A,some high school,free/reduced,completed,60,58,55
female,group A,some high school,standard,none,46,45,49
female,group C,associate's degree,free/reduced,none,58,70,67
male,group C,master's degree,standard,none,95,100,89
female,group C,some high school,free/reduced,none,61,60,69
male,group C,some college,standard,completed,79,63,79
female,group C,associate's degree,standard,none,57,56,58
male,group D,bachelor's degree,standard,none,99,100,95
male,group B,some college,standard,completed,64,55,64
female,group B,associate's degree,standard,none,58,62,61
male,group D,associate's degree,free/reduced,completed,75,79,79
male,group D,bachelor's degree,standard,none,47,55,49
male,group E,some high school,free/reduced,none,75,70,70
female,group E,bachelor's degree,standard,none,79,83,80
female,group E,some high school,free/reduced,completed,78,78,80
male,group C,bachelor's degree,free/reduced,completed,87,82,77
female,group C,some high school,standard,completed,72,72,73
female,group B,high school,free/reduced,completed,45,58,45
male,group D,some high school,free/reduced,completed,64,56,58
male,group E,some college,free/reduced,completed,53,54,55
female,group C,high school,standard,none,66,80,80
female,group C,some high school,standard,completed,85,85,83
female,group C,some college,free/reduced,completed,87,96,86
female,group B,some college,standard,completed,93,87,85
male,group B,associate's degree,free/reduced,none,83,79,77
female,group A,bachelor's degree,standard,none,71,74,74
female,group E,associate's degree,free/reduced,completed,61,67,62
male,group C,some high school,standard,none,72,68,72
female,group D,high school,standard,none,54,62,71
female,group D,bachelor's degree,free/reduced,completed,65,86,80
male,group B,some high school,free/reduced,none,34,42,29
male,group B,some college,free/reduced,none,46,42,46
male,group D,master's degree,free/reduced,none,67,78,86
male,group B,master's degree,standard,none,88,78,83
female,group E,some college,standard,none,50,55,57
male,group B,associate's degree,standard,completed,88,94,87
male,group D,some college,standard,completed,66,69,69
male,group D,associate's degree,standard,completed,78,80,80
male,group B,some high school,free/reduced,completed,92,68,88
male,group B,some high school,standard,none,80,74,76
male,group E,associate's degree,standard,completed,89,93,97
female,group B,high school,standard,none,93,100,98
male,group C,associate's degree,standard,none,61,66,58
female,group C,high school,standard,completed,54,63,59
male,group B,bachelor's degree,free/reduced,completed,58,61,52
male,group D,associate's degree,standard,none,73,61,68
male,group D,some college,standard,completed,40,42,51
male,group C,associate's degree,free/reduced,none,53,52,60
female,group D,high school,standard,none,56,53,65
male,group B,some college,free/reduced,none,72,65,68
male,group A,high school,standard,none,63,80,71
female,group C,bachelor's degree,standard,none,62,67,72
female,group E,bachelor's degree,standard,none,85,87,95
female,group A,bachelor's degree,free/reduced,none,75,75,85
male,group B,bachelor's degree,standard,none,74,54,66
female,group C,master's degree,standard,completed,81,86,80
male,group D,high school,standard,none,41,24,34
female,group B,bachelor's degree,free/reduced,completed,67,57,54
male,group C,some college,free/reduced,none,52,48,40
female,group D,some college,standard,none,68,75,67
male,group C,some college,free/reduced,completed,58,50,53
female,group B,high school,free/reduced,none,44,44,50
male,group B,high school,standard,none,50,46,41
male,group C,high school,standard,none,67,66,69
male,group C,some high school,standard,none,73,67,68
male,group E,some college,free/reduced,none,62,70,59
female,group D,bachelor's degree,standard,none,68,72,75
female,group D,associate's degree,standard,none,47,54,49
