student_id,attendance_pct,past_marks,submission_rate,login_frequency,resume_scans_count,mock_interview_score,career_chat_activity_count,at_risk
STU-00036,87.3,76.3,0.732,4,2,67.5,5,0
STU-00037,79.5,78.3,0.821,4,3,52.8,8,0
STU-00038,67.8,46.0,0.585,5,0,58.8,7,1
STU-00039,71.2,71.0,0.769,6,1,64.5,11,0
STU-00040,95.7,84.7,0.878,5,6,73.0,2,0
STU-00041,87.9,83.7,0.692,9,1,66.4,10,0
STU-00042,86.5,66.0,0.808,5,2,50.5,4,0
STU-00043,74.2,75.3,0.783,3,4,61.5,6,0
STU-00044,94.5,88.7,0.851,8,2,79.5,5,0
STU-00045,65.9,44.7,0.512,2,3,27.4,3,1
STU-00046,60.3,30.7,0.435,0,2,32.3,3,1
STU-00047,87.6,81.0,0.712,8,7,79.1,5,0
STU-00048,85.1,85.7,0.822,5,3,72.6,2,0
STU-00049,76.2,58.7,0.567,4,4,47.4,3,1
STU-00050,96.1,94.7,0.908,2,7,91.9,10,0
STU-00051,97.6,94.7,0.774,4,2,88.3,3,0
STU-00052,93.7,80.7,0.787,6,3,67.9,6,0
STU-00053,54.1,43.0,0.574,5,2,31.3,2,1
STU-00054,83.7,91.0,1.0,3,2,75.0,8,0
STU-00055,86.6,82.0,0.7,4,4,79.7,3,0
STU-00056,81.4,73.0,0.883,1,4,70.1,8,0
STU-00057,72.2,64.7,0.685,6,4,56.6,3,1
STU-00058,98.3,77.3,0.82,4,4,61.5,6,0
STU-00059,57.5,41.3,0.566,5,2,40.5,3,1
STU-00060,97.9,84.7,0.859,5,6,80.0,5,0
STU-00061,74.1,73.0,0.753,5,1,90.5,8,0
STU-00062,85.5,77.3,0.903,2,2,70.6,8,0
STU-00063,71.5,56.3,0.595,3,10,50.5,6,1
STU-00064,72.4,51.7,0.699,4,5,66.6,5,0
STU-00065,74.3,54.0,0.568,0,3,47.5,3,1
STU-00066,95.3,81.7,0.804,4,2,76.9,6,0
STU-00067,84.4,93.0,0.729,9,5,71.2,6,0
STU-00068,94.8,100.0,0.936,7,10,100.0,5,0
STU-00069,91.0,71.0,0.871,3,4,59.1,3,0
STU-00070,76.5,73.0,0.709,5,3,65.5,7,0
STU-00071,79.6,96.7,0.818,14,6,78.4,5,0
STU-00072,81.7,81.3,0.717,4,3,75.6,8,0
STU-00073,62.0,52.0,0.592,8,3,32.8,4,1
STU-00074,76.5,62.3,0.534,3,4,63.7,4,1
STU-00075,62.0,35.7,0.455,3,4,28.1,5,1
STU-00076,83.7,75.3,0.745,7,8,54.3,4,0
STU-00077,95.0,100.0,1.0,4,7,100.0,7,0
STU-00078,75.8,66.0,0.905,4,2,52.1,5,0
STU-00079,66.8,38.7,0.496,3,3,35.5,6,1
STU-00080,74.6,70.7,0.818,6,3,66.8,5,0
STU-00081,73.8,57.0,0.655,7,3,52.2,5,1
STU-00082,63.0,50.3,0.59,4,1,25.2,4,1
STU-00083,84.8,76.3,0.816,7,4,78.4,5,0
STU-00084,72.8,67.7,0.693,3,2,56.7,6,0
STU-00085,60.9,54.0,0.629,3,1,43.3,5,1
STU-00086,89.9,74.3,0.739,9,3,70.3,9,0
STU-00087,73.2,70.0,0.588,3,4,46.6,6,0
STU-00088,73.3,62.7,0.54,2,3,54.8,6,1
STU-00089,72.8,54.3,0.674,4,4,35.3,3,1
STU-00090,74.2,58.0,0.618,4,3,47.0,3,1
STU-00091,81.3,70.3,0.654,7,5,61.0,8,0
STU-00092,84.1,70.7,0.754,2,4,76.7,2,0
STU-00093,72.8,50.7,0.717,6,4,44.5,5,1
STU-00094,75.9,70.0,0.714,3,6,71.1,8,0
STU-00095,48.9,35.0,0.473,7,2,37.3,2,1
STU-00096,65.3,67.7,0.786,3,2,54.1,3,0
STU-00097,59.4,52.7,0.74,1,3,35.9,4,1
STU-00098,71.9,75.3,0.766,4,3,52.5,6,0
STU-00099,91.9,80.3,0.88,6,6,78.5,6,0
STU-00100,89.4,95.0,0.974,7,4,82.9,13,0
STU-00101,63.2,46.3,0.672,2,4,49.0,5,1
STU-00102,98.4,80.7,0.852,8,5,71.1,2,0
STU-00103,72.8,67.3,0.735,10,5,50.0,5,0
STU-00104,67.1,37.7,0.58,2,2,33.9,1,1
STU-00105,91.5,100.0,0.812,8,8,87.5,5,0
STU-00106,59.2,34.7,0.579,8,4,29.5,2,1
STU-00107,86.2,88.7,0.735,9,2,91.3,5,0
STU-00108,86.6,80.0,0.736,5,4,76.9,4,0
STU-00109,95.0,80.3,0.906,6,6,77.3,7,0
STU-00110,53.6,46.0,0.647,5,2,40.7,2,1
STU-00111,83.4,78.7,0.862,6,6,53.3,6,0
STU-00112,77.5,50.7,0.632,4,2,54.2,8,1
STU-00113,77.2,63.0,0.623,7,4,62.8,10,0
STU-00114,60.5,57.0,0.616,7,4,55.6,5,1
STU-00115,80.7,60.3,0.71,5,4,64.1,7,0
STU-00116,76.8,79.0,0.751,4,5,65.5,8,0
STU-00117,83.4,81.7,0.849,3,2,77.7,8,0
STU-00118,80.3,60.3,0.673,5,2,56.9,3,0
STU-00119,90.3,75.7,0.756,3,4,66.3,7,0
STU-00120,74.4,69.0,0.616,4,3,56.2,4,1
STU-00121,73.1,60.7,0.739,4,7,63.3,4,0
STU-00122,84.3,66.7,0.734,5,4,61.7,3,0
STU-00123,87.1,72.3,0.702,2,5,82.7,7,0
STU-00124,81.5,60.0,0.631,3,3,67.1,9,0
STU-00125,96.9,84.7,0.809,9,3,87.0,4,0
STU-00126,77.9,67.7,0.667,6,4,69.8,2,0
STU-00127,74.7,43.3,0.708,4,3,24.5,7,1
STU-00128,54.5,39.7,0.54,3,0,22.3,5,1
STU-00129,77.0,63.3,0.697,2,3,59.3,5,0
STU-00130,68.4,48.7,0.476,5,2,49.7,4,1
STU-00131,85.5,78.3,0.72,7,6,73.0,7,0
STU-00132,66.1,68.3,0.671,5,2,44.9,8,1
STU-00133,74.5,55.7,0.573,3,4,56.5,4,1
STU-00134,68.2,55.0,0.736,3,1,64.0,5,1
STU-00135,71.3,81.3,0.743,3,7,79.4,10,0
STU-00136,66.1,62.7,0.766,5,2,62.0,6,0
STU-00137,69.7,50.0,0.605,5,3,44.3,3,1
STU-00138,91.0,71.3,0.76,5,3,61.9,3,0
STU-00139,94.9,62.0,0.703,6,5,61.3,4,0
STU-00140,100.0,68.3,0.742,4,0,82.9,9,0
STU-00141,87.1,87.0,0.923,4,4,71.1,10,0
STU-00142,65.5,61.0,0.469,7,3,48.2,6,1
STU-00143,63.4,74.0,0.56,5,2,71.8,8,0
STU-00144,76.3,65.3,0.633,5,5,64.9,7,0
STU-00145,59.1,44.0,0.571,2,2,30.6,8,1
STU-00146,71.3,65.0,0.73,2,3,53.2,2,0
STU-00147,50.0,20.7,0.491,2,4,20.0,2,1
STU-00148,86.7,77.0,0.754,0,3,74.0,9,0
STU-00149,79.8,60.7,0.735,2,2,60.4,4,0
STU-00150,81.5,78.7,0.826,3,6,60.4,5,0
STU-00151,62.2,40.7,0.568,2,1,43.3,5,1
STU-00152,75.0,82.7,0.84,5,6,71.1,11,0
STU-00153,73.9,90.3,0.823,6,9,95.4,8,0
STU-00154,83.4,93.0,0.77,8,3,81.6,10,0
STU-00155,77.0,72.0,0.766,4,3,60.4,12,0
STU-00156,97.6,89.3,0.806,4,7,80.5,6,0
STU-00157,74.3,45.3,0.627,2,2,43.8,3,1
STU-00158,87.1,78.3,0.86,7,0,52.2,5,0
STU-00159,61.8,45.0,0.379,4,7,36.3,9,1
STU-00160,55.0,40.7,0.44,1,2,32.5,4,1
STU-00161,58.6,45.3,0.482,4,2,25.8,2,1
STU-00162,66.9,60.0,0.621,6,2,50.4,2,1
STU-00163,98.5,68.0,0.72,4,3,49.3,3,0
STU-00164,66.7,61.0,0.534,1,2,49.1,4,1
STU-00165,71.1,45.0,0.496,5,8,40.2,4,1
STU-00166,50.5,26.3,0.413,3,2,23.2,6,1
STU-00167,94.4,95.3,1.0,6,5,77.7,7,0
STU-00168,83.7,80.0,0.894,6,3,67.3,4,0
STU-00169,67.0,51.3,0.574,2,2,37.4,6,1
STU-00170,77.6,73.0,0.686,2,6,62.1,12,0
STU-00171,87.3,86.3,0.74,8,7,81.8,10,0
STU-00172,88.8,72.7,0.611,6,3,62.6,8,0
STU-00173,83.1,74.0,0.761,3,0,73.0,7,0
STU-00174,67.8,69.7,0.619,8,4,61.3,7,0
STU-00175,72.3,62.7,0.707,4,4,59.9,6,1
STU-00176,78.2,71.0,0.577,3,6,79.7,6,0
STU-00177,82.2,58.0,0.579,4,2,48.2,9,1
STU-00178,90.4,80.7,0.815,5,3,74.3,7,0
STU-00179,83.1,68.7,0.773,8,6,63.0,4,0
STU-00180,95.8,90.7,0.887,8,4,77.3,5,0
STU-00181,95.4,74.0,0.664,3,2,76.4,6,0
STU-00182,74.4,62.0,0.728,5,1,47.2,6,0
STU-00183,90.6,90.0,0.786,4,6,80.0,5,0
STU-00184,77.0,54.0,0.671,8,6,41.6,1,1
STU-00185,89.9,75.3,0.776,5,5,64.2,6,0
STU-00186,96.9,73.7,0.658,9,4,56.6,4,0
STU-00187,76.9,68.0,0.665,2,8,54.1,2,0
STU-00188,50.8,32.0,0.539,2,0,34.2,5,1
STU-00189,69.6,76.0,0.779,8,2,66.2,11,0
STU-00190,85.5,64.3,0.66,5,3,67.2,6,0
STU-00191,94.7,83.7,0.891,4,3,77.1,6,0
STU-00192,84.3,72.3,0.842,3,3,73.7,8,0
STU-00193,74.7,72.0,0.689,6,2,76.3,7,0
STU-00194,100.0,88.7,0.903,4,6,82.6,4,0
STU-00195,62.9,57.0,0.79,5,4,49.0,4,1
STU-00196,81.5,95.0,0.982,6,3,80.7,11,0
STU-00197,74.4,55.3,0.528,3,2,59.4,4,1
STU-00198,89.5,87.3,0.763,2,4,82.3,2,0
STU-00199,76.3,69.7,0.817,8,5,54.0,6,0
STU-00200,78.7,77.3,0.652,4,1,70.4,3,0
STU-00201,68.2,46.3,0.476,3,5,32.9,3,1
STU-00202,88.5,57.0,0.646,2,2,60.7,5,0
STU-00203,69.0,52.0,0.644,4,2,47.5,3,1
STU-00204,77.4,62.0,0.652,1,0,51.2,10,1
STU-00205,65.9,60.7,0.651,4,2,64.1,4,0
STU-00206,92.3,88.0,0.786,4,4,70.9,7,0
STU-00207,79.1,89.0,0.738,7,5,77.0,6,0
STU-00208,62.0,56.7,0.563,2,2,44.5,5,1
STU-00209,63.9,55.7,0.811,1,3,70.2,3,0
STU-00210,64.7,49.0,0.619,3,3,42.9,8,1
STU-00211,100.0,100.0,0.971,4,5,88.2,1,0
STU-00212,64.7,64.3,0.633,6,3,43.7,6,1
STU-00213,78.5,74.0,0.705,6,5,73.3,6,0
STU-00214,64.7,51.3,0.55,2,4,40.8,4,1
STU-00215,75.4,72.7,0.501,4,2,55.4,5,1
STU-00216,79.5,61.0,0.545,5,3,54.5,4,1
STU-00217,89.3,72.3,0.617,8,1,74.7,9,0
STU-00218,95.2,90.7,0.623,4,3,82.1,6,0
STU-00219,96.9,100.0,0.804,3,3,93.2,7,0
STU-00220,76.6,63.3,0.823,4,3,63.1,3,0
STU-00221,68.9,56.7,0.63,7,0,50.0,1,0
STU-00222,69.6,51.0,0.708,3,0,46.0,4,1
STU-00223,81.9,79.3,0.78,2,3,70.8,9,0
STU-00224,69.1,70.3,0.764,4,1,68.5,8,0
STU-00225,81.6,80.0,0.678,9,1,68.5,9,0
STU-00226,84.3,66.0,0.772,2,1,57.6,9,0
STU-00227,83.9,47.3,0.645,3,0,39.1,3,1
STU-00228,93.5,78.7,0.697,1,8,72.9,7,0
STU-00229,63.8,55.0,0.67,5,2,32.5,3,1
STU-00230,73.3,67.3,0.732,3,3,43.0,10,0
STU-00231,80.4,83.7,0.774,2,4,86.5,3,0
STU-00232,71.0,67.0,0.595,8,4,69.1,2,0
STU-00233,87.3,71.3,0.662,2,8,58.5,5,0
STU-00234,100.0,86.3,0.839,5,2,82.2,9,0
STU-00235,76.2,80.7,0.779,4,3,65.4,6,0
STU-00236,84.1,97.0,0.772,6,6,80.4,4,0
STU-00237,59.4,65.3,0.679,1,1,58.0,7,1
STU-00238,90.6,86.0,0.876,7,7,70.8,9,0
STU-00239,64.4,59.7,0.698,5,2,41.9,12,1
STU-00240,77.9,63.7,0.842,4,3,59.7,4,0
STU-00241,79.7,73.0,0.867,4,6,68.9,7,0
STU-00242,88.0,79.3,0.717,9,5,66.4,7,0
STU-00243,51.0,40.7,0.688,3,1,40.9,6,1
STU-00244,61.9,60.3,0.609,5,1,47.9,8,1
STU-00245,100.0,74.7,0.857,3,3,68.1,6,0
STU-00246,63.6,61.3,0.662,8,11,54.4,4,1
STU-00247,87.2,93.0,0.832,3,9,86.0,5,0
STU-00248,90.4,72.3,0.567,4,3,68.2,3,0
STU-00249,100.0,82.3,0.748,7,2,62.5,5,0
STU-00250,81.8,82.3,0.687,7,4,66.8,10,0
STU-00251,68.5,58.0,0.717,3,1,46.8,6,1
STU-00252,72.4,55.7,0.75,3,7,47.8,8,1
STU-00253,88.9,70.7,0.64,8,1,50.1,1,0
STU-00254,69.3,69.3,0.721,0,5,47.8,2,0
STU-00255,78.9,61.3,0.649,5,1,61.6,6,1
STU-00256,74.3,53.0,0.565,3,3,39.0,3,1
STU-00257,81.6,74.7,0.785,7,2,51.8,7,0
STU-00258,75.4,73.3,0.714,9,4,70.1,5,0
STU-00259,86.6,76.7,0.923,9,1,68.1,10,0
STU-00260,65.4,66.7,0.645,0,3,65.9,8,1
STU-00261,93.0,92.7,0.943,9,4,87.0,7,0
STU-00262,84.4,74.0,0.778,0,2,73.3,5,0
STU-00263,60.7,31.3,0.57,6,2,24.9,3,1
STU-00264,80.0,68.7,0.708,12,5,45.1,6,0
STU-00265,99.7,96.3,0.878,4,3,80.8,4,0
STU-00266,69.8,39.3,0.537,2,3,32.4,5,1
STU-00267,78.6,72.3,0.645,2,5,64.4,9,0
STU-00268,97.3,93.0,0.918,6,5,72.7,4,0
STU-00269,79.6,58.3,0.744,5,4,57.2,3,0
STU-00270,89.9,82.0,0.857,7,1,68.7,3,0
STU-00271,72.5,54.7,0.796,8,3,56.3,2,0
STU-00272,90.1,95.3,0.943,8,5,80.9,7,0
STU-00273,87.4,78.0,0.76,6,4,80.2,8,0
STU-00274,99.9,71.7,0.788,9,3,77.5,7,0
STU-00275,94.7,86.0,0.73,4,4,76.8,4,0
STU-00276,79.8,71.3,0.709,7,3,67.5,3,0
STU-00277,66.8,60.3,0.604,2,4,48.5,6,1
STU-00278,73.9,63.7,0.848,2,2,84.7,4,0
STU-00279,88.6,78.3,0.771,7,4,56.8,4,0
STU-00280,85.6,68.3,0.724,4,2,61.9,1,0
STU-00281,61.1,28.3,0.587,7,3,31.3,6,1
STU-00282,62.8,66.7,0.51,5,2,62.7,5,1
STU-00283,73.1,48.0,0.429,5,1,44.7,2,1
STU-00284,90.3,93.7,0.882,4,3,85.0,12,0
STU-00285,80.8,79.0,0.8,4,6,58.5,3,0
STU-00286,67.8,58.0,0.66,3,1,62.0,3,1
STU-00287,89.3,76.7,0.677,3,3,71.5,6,0
STU-00288,66.2,46.3,0.58,5,4,49.4,2,1
STU-00289,74.7,52.7,0.824,2,5,36.5,5,1
STU-00290,79.5,78.3,0.808,7,0,68.6,5,0
STU-00291,88.2,100.0,0.864,4,4,80.5,6,0
STU-00292,79.2,73.7,0.683,3,7,67.2,3,0
STU-00293,84.9,65.7,0.647,4,7,58.4,7,0
STU-00294,54.0,60.0,0.48,4,2,53.9,1,1
STU-00295,77.4,58.0,0.711,2,1,48.8,7,0
STU-00296,87.2,91.0,0.873,5,7,76.9,5,0
STU-00297,73.6,59.0,0.519,4,0,48.7,5,1
STU-00298,84.5,93.7,0.765,17,1,83.6,11,0
STU-00299,70.8,84.7,0.681,9,3,79.9,8,0
STU-00300,77.5,49.3,0.569,3,3,51.1,4,1
STU-00301,83.5,58.7,0.648,4,1,39.7,6,1
STU-00302,74.1,70.7,0.587,3,6,68.9,4,0
STU-00303,92.9,75.3,0.826,6,6,92.9,5,0
STU-00304,67.9,56.0,0.69,4,3,60.8,6,1
STU-00305,89.6,100.0,0.83,4,5,61.2,13,0
STU-00306,61.9,54.0,0.422,9,2,46.4,2,1
STU-00307,74.3,70.3,0.622,6,3,67.2,6,0
STU-00308,90.4,80.7,0.852,6,1,67.1,9,0
STU-00309,92.0,77.7,0.566,1,1,70.3,10,0
STU-00310,92.8,79.3,0.719,6,5,65.3,6,0
STU-00311,76.5,51.7,0.514,2,1,48.3,7,1
STU-00312,85.0,64.3,0.786,1,5,53.5,4,0
STU-00313,93.4,80.3,0.698,7,5,77.8,6,0
STU-00314,92.7,81.3,0.839,8,6,76.7,10,0
STU-00315,83.9,73.7,0.764,3,4,55.1,4,0
STU-00316,82.8,88.7,0.94,7,9,84.4,7,0
STU-00317,88.4,77.7,0.772,4,3,61.7,5,0
STU-00318,84.6,81.0,0.835,9,1,72.4,7,0
STU-00319,86.6,59.3,0.578,4,4,53.9,5,0
STU-00320,64.1,60.7,0.749,4,4,68.7,3,1
STU-00321,90.1,70.3,0.691,3,3,62.3,5,0
STU-00322,76.7,73.3,0.672,6,2,45.1,5,0
STU-00323,75.7,50.0,0.598,2,5,37.8,6,1
STU-00324,69.3,42.3,0.437,2,2,39.6,2,1
STU-00325,79.5,48.3,0.61,1,4,47.4,4,1
STU-00326,69.8,43.7,0.646,6,1,55.3,2,1
STU-00327,60.5,59.0,0.668,6,1,61.4,5,1
STU-00328,73.4,46.3,0.505,5,2,48.9,2,1
STU-00329,73.0,62.7,0.703,4,4,54.1,8,0
STU-00330,81.5,71.3,0.816,9,1,81.6,3,0
STU-00331,73.7,40.3,0.401,4,1,31.3,4,1
STU-00332,94.5,82.3,0.726,6,9,72.7,4,0
STU-00333,78.5,85.3,0.847,7,3,69.2,10,0
STU-00334,64.3,58.7,0.665,5,2,39.8,6,1
STU-00335,84.6,69.7,0.781,2,3,63.5,6,0
STU-00336,71.0,76.7,0.882,4,1,63.3,7,0
STU-00337,68.4,62.3,0.699,6,4,58.8,5,0
STU-00338,65.6,41.0,0.608,4,2,31.7,7,1
STU-00339,91.0,84.3,0.989,4,1,61.5,5,0
STU-00340,96.9,88.0,0.823,3,7,70.0,3,0
STU-00341,61.5,72.3,0.648,4,2,63.2,5,1
STU-00342,78.3,69.3,0.731,2,4,59.5,1,0
STU-00343,63.7,40.3,0.587,3,3,29.8,2,1
STU-00344,86.9,86.7,0.741,4,5,69.9,3,0
STU-00345,100.0,88.7,0.761,6,1,86.5,11,0
STU-00346,73.4,77.3,0.971,2,3,84.9,6,0
STU-00347,83.5,77.0,0.811,3,4,67.2,5,0
STU-00348,94.3,82.7,0.755,6,6,79.0,3,0
STU-00349,56.6,50.3,0.675,2,2,50.4,5,1
STU-00350,97.1,75.0,0.766,3,5,65.5,9,0
STU-00351,75.0,61.0,0.635,4,3,51.7,4,1
STU-00352,90.7,88.3,0.837,8,3,74.8,4,0
STU-00353,73.6,54.7,0.57,6,1,44.0,4,1
STU-00354,77.5,59.7,0.677,6,5,52.1,2,0
STU-00355,100.0,100.0,1.0,5,4,93.3,8,0
STU-00356,86.0,69.7,0.786,9,1,71.7,5,0
STU-00357,88.2,74.7,0.743,6,3,62.0,5,0
STU-00358,72.8,57.7,0.598,5,1,49.1,9,1
STU-00359,71.2,71.7,0.676,3,4,72.0,4,0
STU-00360,76.0,53.3,0.646,4,2,70.0,5,1
STU-00361,75.6,70.3,0.671,6,5,70.0,6,0
STU-00362,83.4,79.3,0.82,3,3,58.0,4,0
STU-00363,89.1,64.7,0.585,4,4,66.6,7,0
STU-00364,88.5,95.3,0.946,9,4,85.2,8,0
STU-00365,93.5,92.0,0.83,10,2,88.5,7,0
STU-00366,95.3,88.7,0.823,9,3,69.2,4,0
STU-00367,67.5,61.7,0.568,8,5,38.7,3,1
STU-00368,84.2,100.0,0.956,6,2,82.2,10,0
STU-00369,83.3,82.0,0.86,3,0,75.5,8,0
STU-00370,87.2,80.7,0.83,6,4,70.9,9,0
STU-00371,65.8,46.0,0.459,1,2,42.3,5,1
STU-00372,83.0,63.7,0.735,3,5,55.8,5,0
STU-00373,86.7,79.3,0.779,6,4,70.7,3,0
STU-00374,92.6,92.7,0.685,12,6,83.0,8,0
STU-00375,89.8,91.0,0.803,6,6,75.2,4,0
STU-00376,95.8,76.7,0.762,2,3,65.8,4,0
STU-00377,80.7,64.7,0.768,4,2,76.9,5,0
STU-00378,63.1,71.3,0.721,4,6,61.8,7,1
STU-00379,87.8,52.3,0.685,3,0,52.8,5,1
STU-00380,59.8,40.0,0.668,3,3,34.8,2,1
STU-00381,79.4,74.7,0.821,5,8,61.7,6,0
STU-00382,81.9,61.7,0.429,3,4,48.9,4,1
STU-00383,65.6,70.7,0.678,3,4,61.7,8,0
STU-00384,69.4,73.7,0.705,4,7,58.6,4,0
STU-00385,77.5,79.3,0.656,4,1,74.3,7,0
STU-00386,72.5,55.7,0.686,3,3,49.0,8,1
STU-00387,81.7,74.7,0.823,9,4,64.3,5,0
STU-00388,64.0,34.0,0.433,1,3,33.6,8,1
STU-00389,78.2,51.7,0.685,3,3,50.2,5,1
STU-00390,70.1,77.7,0.665,3,5,49.9,4,0
STU-00391,55.7,59.7,0.595,3,3,55.4,5,1
STU-00392,91.8,85.3,0.945,14,5,81.5,4,0
STU-00393,74.1,72.0,0.667,3,2,53.3,4,0
STU-00394,85.9,66.0,0.767,1,2,70.3,6,0
STU-00395,84.0,75.7,0.579,4,3,53.1,6,0
STU-00396,72.2,58.3,0.791,4,3,57.9,2,0
STU-00397,67.4,38.0,0.588,1,1,31.8,4,1
STU-00398,91.1,81.0,0.79,10,0,58.7,5,0
STU-00399,71.2,50.0,0.646,0,1,43.9,7,1
STU-00400,76.4,63.0,0.602,5,6,58.3,7,0
STU-00401,95.7,97.7,0.983,3,8,86.6,2,0
STU-00402,75.4,46.7,0.607,8,3,41.8,5,1
STU-00403,86.7,80.0,0.734,3,1,67.0,6,0
STU-00404,66.1,53.0,0.576,4,2,41.2,11,1
STU-00405,81.2,72.3,0.665,3,5,46.6,5,0
STU-00406,70.4,60.7,0.709,2,3,61.7,2,0
STU-00407,90.0,84.0,0.84,3,4,77.4,6,0
STU-00408,74.5,52.7,0.665,7,4,38.9,5,1
STU-00409,69.2,67.0,0.734,5,2,55.9,6,1
STU-00410,74.6,86.0,0.821,7,3,79.3,7,0
STU-00411,74.4,88.3,0.758,5,2,64.7,3,0
STU-00412,67.4,86.0,0.958,5,7,74.2,8,0
STU-00413,79.0,68.3,0.616,3,4,61.4,6,0
STU-00414,83.1,73.0,0.816,5,5,57.8,9,0
STU-00415,88.0,100.0,0.959,8,3,76.2,8,0
STU-00416,86.9,72.3,0.693,5,1,64.5,5,0
STU-00417,91.2,85.7,0.957,6,0,72.9,6,0
STU-00418,74.8,45.7,0.658,1,4,40.7,5,1
STU-00419,73.3,64.0,0.748,5,1,48.1,2,0
STU-00420,87.9,74.3,0.724,0,5,62.5,4,0
STU-00421,72.0,58.7,0.626,4,2,57.0,4,0
STU-00422,66.9,61.7,0.642,3,2,39.1,3,1
STU-00423,62.0,47.0,0.616,1,2,39.9,4,1
STU-00424,70.3,79.3,0.859,7,1,59.8,10,0
STU-00425,79.4,90.3,0.816,3,2,68.4,4,0
STU-00426,84.2,92.7,0.74,7,6,80.9,6,0
STU-00427,93.5,95.3,0.893,8,5,76.7,7,0
STU-00428,83.3,58.3,0.715,5,2,39.8,3,0
STU-00429,60.1,55.0,0.677,4,2,57.3,6,1
STU-00430,84.2,81.0,0.815,4,4,76.2,6,0
STU-00431,74.5,81.7,0.737,8,6,54.0,8,0
STU-00432,84.2,62.0,0.636,4,1,48.9,6,0
STU-00433,77.7,57.0,0.616,5,0,61.2,6,0
STU-00434,66.5,76.3,0.601,5,3,62.6,8,0
STU-00435,82.8,69.7,0.717,4,6,71.2,4,0
STU-00436,76.3,79.0,0.738,5,6,72.1,8,0
STU-00437,93.4,98.0,0.855,4,1,93.7,8,0
STU-00438,74.4,82.0,0.524,3,4,61.5,7,0
STU-00439,78.1,83.7,0.669,10,4,75.0,3,0
STU-00440,67.3,43.0,0.655,3,2,26.3,3,1
STU-00441,81.0,83.0,0.712,4,6,81.0,7,0
STU-00442,78.8,70.0,0.729,3,2,62.9,4,0
STU-00443,78.0,50.0,0.539,4,3,43.9,1,1
STU-00444,92.7,67.7,0.853,2,6,72.0,7,0
STU-00445,64.7,49.0,0.583,5,4,59.6,3,1
STU-00446,66.6,71.0,0.728,5,5,58.6,2,0
STU-00447,91.2,86.0,0.966,5,3,77.5,8,0
STU-00448,83.0,89.7,0.92,6,3,72.8,2,0
STU-00449,78.3,56.7,0.609,6,3,48.8,5,0
STU-00450,77.2,65.7,0.631,8,4,43.8,6,1
STU-00451,89.0,82.0,0.784,5,1,77.7,7,0
STU-00452,93.8,85.3,0.867,8,3,80.9,9,0
STU-00453,100.0,93.3,0.858,7,6,100.0,4,0
STU-00454,100.0,87.3,0.805,7,2,67.9,4,0
STU-00455,86.1,90.3,0.919,5,2,74.5,8,0
STU-00456,80.2,75.7,0.719,4,1,74.6,5,0
STU-00457,72.5,44.3,0.756,3,4,35.7,4,1
STU-00458,71.6,72.3,0.719,1,3,60.1,6,0
STU-00459,81.5,76.0,0.873,2,4,57.9,1,0
STU-00460,84.6,70.7,0.782,7,2,60.6,14,0
STU-00461,88.6,92.0,0.887,5,4,63.6,6,0
STU-00462,68.1,64.3,0.614,4,7,49.6,7,1
